name,flip_number,outcome
9,27,0
9,28,0
9,29,0
9,30,0
10,1,1
10,2,1
10,3,0
10,4,1
10,5,1
10,6,0
10,7,0
10,8,0
10,9,1
10,10,0
10,11,0
10,12,0
10,13,0
10,14,0
10,15,1
10,16,1
10,17,0
10,18,1
10,19,0
10,20,1
10,21,0
10,22,1
10,23,0
10,24,1
10,25,0
10,26,0
10,27,0
10,28,1
10,29,0
10,30,0
11,1,0
11,2,0
11,3,1
11,4,0
11,5,0
11,6,0
11,7,1
11,8,0
11,9,1
11,10,0
11,11,1
11,12,1
11,13,1
11,14,0
11,15,0
11,16,1
11,17,1
11,18,1
11,19,0
11,20,0
11,21,0
11,22,0
11,23,0
11,24,0
11,25,1
11,26,0
11,27,0
11,28,0
11,29,0
11,30,0
12,1,1
12,2,1
12,3,0
12,4,0
12,5,1
12,6,1
12,7,0
12,8,1
12,9,0
12,10,0
12,11,0
12,12,0
12,13,0
12,14,0
12,15,1
12,16,0
12,17,0
12,18,1
12,19,0
12,20,0
12,21,1
12,22,1
12,23,1
12,24,1
12,25,0
12,26,0
12,27,1
12,28,0
12,29,0
12,30,0
13,1,0
13,2,1
13,3,0
13,4,0
13,5,1
13,6,1
13,7,0
13,8,0
13,9,0
13,10,0
13,11,1
13,12,1
13,13,0
13,14,0
13,15,0
13,16,0
13,17,1
13,18,0
13,19,1
13,20,0
13,21,1
13,22,1
13,23,1
13,24,0
13,25,0
13,26,0
13,27,1
13,28,0
13,29,1
13,30,0
14,1,1
14,2,0
14,3,0
14,4,1
14,5,0
14,6,1
14,7,1
14,8,0
14,9,1
14,10,0
14,11,0
14,12,0
14,13,0
14,14,0
14,15,1
14,16,1
14,17,0
14,18,0
14,19,0
14,20,0
14,21,0
14,22,1
14,23,0
14,24,0
14,25,0
14,26,0
14,27,0
14,28,1
14,29,0
14,30,0
15,1,0
15,2,1
15,3,0
15,4,1
15,5,1
15,6,0
15,7,1
15,8,1
15,9,0
15,10,0
15,11,0
15,12,0
15,13,1
15,14,1
15,15,0
15,16,0
15,17,1
15,18,0
15,19,1
15,20,0
15,21,0
15,22,1
15,23,1
15,24,0
15,25,0
15,26,1
15,27,1
15,28,0
15,29,0
15,30,1
16,1,1
16,2,1
16,3,0
16,4,1
16,5,1
16,6,0
16,7,0
16,8,1
16,9,1
16,10,0
16,11,0
16,12,1
16,13,1
16,14,0
16,15,0
16,16,0
16,17,0
16,18,0
16,19,0
16,20,0
16,21,0
16,22,0
16,23,0
16,24,0
16,25,0
16,26,0
16,27,0
16,28,0
16,29,0
16,30,1
17,1,0
17,2,0
17,3,1
17,4,0
17,5,0
17,6,0
17,7,0
17,8,0
17,9,0
17,10,0
17,11,0
17,12,1
17,13,0
17,14,0
17,15,0
17,16,0
17,17,0
17,18,0
17,19,0
17,20,0
17,21,0
17,22,0
17,23,1
17,24,1
17,25,0
17,26,0
17,27,0
17,28,0
17,29,1
17,30,1
18,1,0
18,2,0
18,3,0
18,4,1
18,5,0
18,6,0
18,7,0
18,8,0
18,9,1
18,10,0
18,11,1
18,12,0
18,13,0
18,14,1
18,15,0
18,16,0
18,17,0
18,18,1
18,19,0
18,20,0
18,21,1
18,22,0
18,23,0
18,24,0
18,25,1
18,26,0
18,27,1
18,28,1
18,29,0
18,30,0
19,1,1
19,2,0
19,3,0
19,4,1
19,5,1
19,6,0
19,7,0
19,8,0
19,9,0
19,10,1
19,11,0
19,12,0
19,13,0
19,14,0
19,15,0
19,16,0
19,17,0
19,18,0
19,19,1
19,20,0
19,21,1
19,22,1
19,23,1
19,24,0
19,25,0
19,26,1
19,27,1
19,28,0
19,29,0
19,30,0
20,1,1
20,2,1
20,3,1
20,4,1
20,5,0
20,6,0
20,7,0
20,8,0
20,9,0
20,10,0
20,11,0
20,12,0
20,13,0
20,14,0
20,15,1
20,16,1
20,17,0
20,18,0
20,19,0
20,20,1
20,21,1
20,22,1
20,23,0
20,24,0
20,25,1
20,26,0
20,27,0
20,28,1
20,29,1
20,30,1
21,1,0
21,2,0
21,3,1
21,4,0
21,5,0
21,6,0
21,7,1
21,8,0
21,9,0
21,10,1
21,11,1
21,12,0
21,13,0
21,14,1
21,15,0
21,16,0
21,17,1
21,18,0
21,19,1
21,20,1
21,21,0
21,22,1
21,23,0
21,24,1
21,25,0
21,26,1
21,27,1
21,28,1
21,29,1
21,30,1
22,1,1
22,2,0
22,3,1
22,4,1
22,5,0
22,6,0
22,7,0
22,8,0
22,9,0
22,10,1
22,11,1
22,12,0
22,13,0
22,14,0
22,15,0
22,16,1
22,17,0
22,18,0
22,19,1
22,20,0
22,21,1
22,22,1
22,23,0
22,24,0
22,25,0
22,26,1
22,27,0
22,28,0
22,29,0
22,30,0
23,1,1
23,2,0
23,3,0
23,4,0
23,5,1
23,6,1
23,7,0
23,8,0
23,9,0
23,10,0
23,11,0
23,12,1
23,13,0
23,14,1
23,15,1
23,16,1
23,17,0
23,18,0
23,19,0
23,20,1
23,21,1
23,22,1
23,23,1
23,24,0
23,25,1
23,26,1
23,27,0
23,28,1
23,29,1
23,30,0
24,1,0
24,2,0
24,3,1
24,4,1
24,5,0
24,6,0
24,7,1
24,8,0
24,9,1
24,10,1
24,11,1
24,12,1
24,13,0
24,14,0
24,15,1
24,16,0
24,17,0
24,18,1
24,19,0
24,20,0
24,21,0
24,22,1
24,23,1
24,24,1
24,25,0
24,26,0
24,27,0
24,28,0
24,29,0
24,30,0
25,1,0
25,2,1
25,3,1
25,4,0
25,5,1
25,6,0
25,7,0
25,8,0
25,9,1
25,10,0
25,11,1
25,12,0
25,13,1
25,14,0
25,15,0
25,16,0
25,17,0
25,18,0
25,19,1
25,20,0
25,21,0
25,22,1
25,23,1
25,24,1
25,25,0
25,26,1
25,27,1
25,28,0
25,29,1
25,30,0
26,1,1
26,2,1
26,3,1
26,4,0
26,5,0
26,6,0
26,7,0
26,8,1
26,9,0
26,10,0
26,11,0
26,12,0
26,13,1
26,14,1
26,15,0
26,16,1
26,17,1
26,18,0
26,19,1
26,20,1
26,21,1
26,22,0
26,23,1
26,24,1
26,25,0
26,26,1
26,27,0
26,28,1
26,29,0
26,30,0
27,1,0
27,2,1
27,3,0
27,4,0
27,5,0
27,6,1
27,7,0
27,8,0
27,9,1
27,10,1
27,11,1
27,12,1
27,13,1
27,14,1
27,15,1
27,16,0
27,17,1
27,18,0
27,19,0
27,20,0
27,21,0
27,22,1
27,23,0
27,24,1
27,25,0
27,26,1
27,27,1
27,28,0
27,29,1
27,30,0
28,1,0
28,2,0
28,3,0
28,4,0
28,5,0
28,6,0
28,7,0
28,8,1
28,9,0
28,10,1
28,11,0
28,12,1
28,13,1
28,14,0
28,15,0
28,16,0
28,17,0
28,18,0
28,19,0
28,20,0
28,21,0
28,22,1
28,23,0
28,24,0
28,25,0
28,26,0
28,27,1
28,28,1
28,29,1
28,30,0
29,1,1
29,2,0
29,3,1
29,4,0
29,5,0
29,6,1
29,7,0
29,8,0
29,9,0
29,10,0
29,11,0
29,12,0
29,13,0
29,14,0
29,15,1
29,16,0
29,17,0
29,18,1
29,19,0
29,20,1
29,21,1
29,22,0
29,23,0
29,24,0
29,25,0
29,26,0
29,27,0
29,28,1
29,29,0
29,30,1
30,1,1
30,2,0
30,3,1
30,4,0
30,5,1
30,6,1
30,7,1
30,8,0
30,9,1
30,10,0
30,11,0
30,12,1
30,13,0
30,14,0
30,15,1
30,16,1
30,17,0
30,18,0
30,19,0
30,20,0
30,21,0
30,22,1
30,23,1
30,24,0
30,25,0
30,26,1
30,27,0
30,28,0
30,29,0
30,30,1
31,1,1
31,2,0
31,3,0
31,4,1
31,5,1
31,6,0
31,7,1
31,8,1
31,9,0
31,10,0
31,11,0
31,12,0
31,13,0
31,14,0
31,15,1
31,16,0
31,17,1
31,18,0
31,19,0
31,20,1
31,21,1
31,22,0
31,23,1
31,24,0
31,25,0
31,26,0
31,27,1
31,28,0
31,29,0
31,30,0
32,1,0
32,2,0
32,3,1
32,4,1
32,5,0
32,6,1
32,7,1
32,8,0
32,9,1
32,10,1
32,11,1
32,12,0
32,13,0
32,14,0
32,15,0
32,16,1
32,17,0
32,18,0
32,19,0
32,20,1
32,21,1
32,22,1
32,23,0
32,24,1
32,25,0
32,26,0
32,27,0
32,28,0
32,29,1
32,30,0
33,1,0
33,2,1
33,3,0
33,4,1
33,5,0
33,6,0
33,7,1
33,8,0
33,9,0
33,10,0
33,11,1
33,12,0
33,13,1
33,14,0
33,15,0
33,16,1
33,17,0
33,18,1
33,19,0
33,20,0
33,21,0
33,22,0
33,23,1
33,24,0
33,25,1
33,26,0
33,27,1
33,28,1
33,29,1
33,30,1
34,1,0
34,2,0
34,3,1
34,4,1
34,5,0
34,6,0
34,7,1
34,8,1
34,9,1
34,10,1
34,11,1
34,12,1
34,13,1
34,14,0
34,15,1
34,16,1
34,17,1
34,18,0
34,19,1
34,20,1
34,21,0
34,22,1
34,23,1
34,24,1
34,25,0
34,26,1
34,27,0
34,28,0
34,29,1
34,30,0
35,1,0
35,2,0
35,3,0
35,4,1
35,5,1
35,6,0
35,7,1
35,8,0
35,9,1
35,10,1
35,11,1
35,12,0
35,13,1
35,14,1
35,15,0
35,16,0
35,17,0
35,18,0
35,19,1
35,20,1
35,21,0
35,22,1
35,23,0
35,24,0
35,25,1
35,26,1
35,27,1
35,28,1
35,29,1
35,30,0
36,1,1
36,2,1
36,3,1
36,4,1
36,5,0
36,6,1
36,7,1
36,8,1
36,9,1
36,10,1
36,11,0
36,12,0
36,13,1
36,14,0
36,15,1
36,16,1
36,17,1
36,18,1
36,19,1
36,20,1
36,21,0
36,22,1
36,23,0
36,24,1
36,25,1
36,26,1
36,27,0
36,28,0
36,29,0
36,30,0
37,1,0
37,2,1
37,3,0
37,4,1
37,5,1
37,6,0
37,7,1
37,8,1
37,9,1
37,10,0
37,11,1
37,12,1
37,13,1
37,14,0
37,15,0
37,16,1
37,17,0
37,18,0
37,19,0
37,20,1
37,21,1
37,22,1
37,23,0
37,24,1
37,25,1
37,26,0
37,27,0
37,28,0
37,29,0
37,30,1
38,1,1
38,2,0
38,3,0
38,4,1
38,5,1
38,6,0
38,7,1
38,8,1
38,9,1
38,10,1
38,11,1
38,12,1
38,13,1
38,14,0
38,15,0
38,16,1
38,17,1
38,18,0
38,19,0
38,20,1
38,21,0
38,22,0
38,23,1
38,24,0
38,25,1
38,26,0
38,27,0
38,28,0
38,29,1
38,30,1
39,1,0
39,2,0
39,3,0
39,4,0
39,5,0
39,6,0
39,7,0
39,8,0
39,9,1
39,10,0
39,11,0
39,12,1
39,13,0
39,14,0
39,15,0
39,16,1
39,17,1
39,18,0
39,19,1
39,20,0
39,21,1
39,22,0
39,23,0
39,24,1
39,25,1
39,26,0
39,27,1
39,28,0
39,29,1
39,30,1
40,1,1
40,2,1
40,3,1
40,4,1
40,5,1
40,6,0
40,7,1
40,8,0
40,9,1
40,10,0
40,11,0
40,12,1
40,13,1
40,14,0
40,15,1
40,16,0
40,17,0
40,18,1
40,19,0
40,20,0
40,21,0
40,22,1
40,23,1
40,24,1
40,25,1
40,26,0
40,27,1
40,28,0
40,29,0
40,30,1
41,1,1
41,2,1
41,3,0
41,4,1
41,5,0
41,6,0
41,7,0
41,8,0
41,9,1
41,10,0
41,11,0
41,12,1
41,13,0
41,14,0
41,15,0
41,16,0
41,17,0
41,18,0
41,19,1
41,20,0
41,21,1
41,22,0
41,23,0
41,24,1
41,25,0
41,26,1
41,27,1
41,28,0
41,29,0
41,30,1
42,1,1
42,2,1
42,3,1
42,4,0
42,5,1
42,6,0
42,7,1
42,8,1
42,9,0
42,10,1
42,11,0
42,12,1
42,13,0
42,14,1
42,15,1
42,16,0
42,17,1
42,18,0
42,19,0
42,20,1
42,21,1
42,22,1
42,23,1
42,24,0
42,25,0
42,26,0
42,27,0
42,28,0
42,29,1
42,30,0
43,1,1
43,2,1
43,3,1
43,4,1
43,5,1
43,6,0
43,7,1
43,8,1
43,9,0
43,10,0
43,11,1
43,12,1
43,13,0
43,14,0
43,15,0
43,16,1
43,17,0
43,18,0
43,19,0
43,20,0
43,21,1
43,22,0
43,23,0
43,24,0
43,25,0
43,26,1
43,27,1
43,28,1
43,29,0
43,30,1
44,1,0
44,2,1
44,3,0
44,4,0
44,5,0
44,6,1
44,7,1
44,8,0
44,9,1
44,10,1
44,11,1
44,12,0
44,13,0
44,14,1
44,15,1
44,16,0
44,17,0
44,18,1
44,19,1
44,20,1
44,21,1
44,22,0
44,23,1
44,24,1
44,25,0
44,26,0
44,27,0
44,28,0
44,29,1
44,30,0
45,1,1
45,2,1
45,3,0
45,4,1
45,5,1
45,6,1
45,7,1
45,8,0
45,9,0
45,10,1
45,11,0
45,12,1
45,13,0
45,14,0
45,15,1
45,16,0
45,17,0
45,18,1
45,19,1
45,20,1
45,21,0
45,22,0
45,23,1
45,24,0
45,25,1
45,26,1
45,27,0
45,28,1
45,29,1
45,30,1
46,1,0
46,2,1
46,3,1
46,4,0
46,5,0
46,6,1
46,7,0
46,8,0
46,9,1
46,10,0
46,11,1
46,12,0
46,13,0
46,14,0
46,15,0
46,16,1
46,17,1
46,18,1
46,19,1
46,20,0
46,21,1
46,22,1
46,23,0
46,24,0
46,25,0
46,26,1
46,27,0
46,28,1
46,29,1
46,30,1
47,1,1
47,2,0
47,3,1
47,4,1
47,5,1
47,6,1
47,7,1
47,8,0
47,9,0
47,10,0
47,11,1
47,12,0
47,13,0
47,14,1
47,15,0
47,16,1
47,17,0
47,18,0
47,19,0
47,20,0
47,21,0
47,22,1
47,23,1
47,24,1
47,25,0
47,26,1
47,27,1
47,28,0
47,29,1
47,30,1
48,1,1
48,2,1
48,3,1
48,4,0
48,5,0
48,6,1
48,7,1
48,8,0
48,9,0
48,10,0
48,11,1
48,12,1
48,13,1
48,14,0
48,15,1
48,16,1
48,17,1
48,18,0
48,19,0
48,20,1
48,21,1
48,22,0
48,23,1
48,24,0
48,25,1
48,26,1
48,27,1
48,28,1
48,29,0
48,30,0
49,1,1
49,2,0
49,3,1
49,4,1
49,5,1
49,6,1
49,7,1
49,8,1
49,9,1
49,10,0
49,11,1
49,12,1
49,13,1
49,14,1
49,15,0
49,16,0
49,17,1
49,18,1
49,19,1
49,20,0
49,21,0
49,22,1
49,23,0
49,24,1
49,25,1
49,26,0
49,27,1
49,28,1
49,29,0
49,30,0
